Date,Description,Amount,Category
2023-01-15,Health Insurance,46.12,Healthcare
2023-06-05,Pharmacy,18.05,Healthcare
2023-10-22,Exxon,184.76,Transport
2023-02-02,Phone Bill,74.63,Utilities
2023-01-06,Costco,137.44,Shopping
2023-08-27,Car Rental,43.17,Travel
2023-07-25,Best Buy,32.93,Shopping
2023-07-10,Shell Gas,30.83,Transport
2023-02-03,Electric Bill,69.88,Utilities
2023-01-15,Cinema,40.74,Entertainment
2023-02-18,Burger King,24.35,Food & Beverage
2023-04-10,Travel Insurance,65.76,Travel
2023-06-14,Car Rental,41.47,Travel
2023-07-27,Lyft,90.31,Transport
2023-10-25,Travel Insurance,65.11,Travel
2023-07-17,Uber,27.14,Transport
2023-02-13,Doctor Visit,162.03,Healthcare
2023-06-17,Travel Insurance,191.7,Travel
2023-03-11,Hotel Booking,71.0,Travel
2023-06-14,Dunkin' Donuts,161.52,Food & Beverage
2023-08-11,Spotify,155.36,Entertainment
2023-04-27,Water Bill,113.97,Utilities
2023-04-03,Airline Ticket,127.67,Travel
2023-04-09,Internet Bill,50.17,Utilities
2023-02-08,Public Transport,23.3,Transport
2023-06-17,Electric Bill,86.75,Utilities
2023-04-09,Health Insurance,163.54,Healthcare
2023-07-20,Pharmacy,173.28,Healthcare
2023-01-24,Hotel Booking,181.9,Travel
2023-06-26,Dunkin' Donuts,197.05,Food & Beverage
2023-06-15,Burger King,190.95,Food & Beverage
2023-03-30,Airline Ticket,149.15,Travel
2023-01-14,Water Bill,122.18,Utilities
2023-01-19,Health Insurance,8.94,Healthcare
2023-08-26,Public Transport,132.35,Transport
2023-03-01,Best Buy,19.99,Shopping
2023-02-23,Uber,165.28,Transport
2023-08-15,Car Rental,14.58,Travel
2023-02-03,Burger King,139.91,Food & Beverage
2023-06-07,Best Buy,148.23,Shopping
2023-04-08,McDonald's,116.33,Food & Beverage
2023-01-21,Pizza Hut,104.61,Food & Beverage
2023-06-22,Walmart,114.78,Shopping
2023-10-04,Spotify,95.83,Entertainment
2023-03-17,Costco,29.52,Shopping
2023-04-24,McDonald's,113.23,Food & Beverage
2023-01-10,Phone Bill,58.19,Utilities
2023-07-14,Theme Park,122.53,Entertainment
2023-07-13,Hospital,21.82,Healthcare
2023-04-06,Airline Ticket,16.21,Travel
2023-08-08,Pharmacy,39.07,Healthcare
2023-09-27,McDonald's,34.31,Food & Beverage
2023-02-05,Water Bill,105.21,Utilities
2023-10-02,Cinema,122.37,Entertainment
2023-03-10,Shell Gas,10.87,Transport
2023-04-03,Electric Bill,139.62,Utilities
2023-02-23,Airline Ticket,55.72,Travel
2023-02-19,Hotel Booking,193.33,Travel
2023-01-08,Theme Park,149.91,Entertainment
2023-04-08,Health Insurance,11.17,Healthcare
2023-05-07,Spotify,36.34,Entertainment
2023-07-18,Dunkin' Donuts,109.58,Food & Beverage
2023-08-24,Dunkin' Donuts,81.43,Food & Beverage
2023-07-13,Phone Bill,20.08,Utilities
2023-10-28,Cinema,75.64,Entertainment
2023-08-31,Hotel Booking,193.89,Travel
2023-05-23,Shell Gas,162.87,Transport
2023-09-29,Lyft,82.41,Transport
2023-02-11,Pharmacy,94.36,Healthcare
2023-06-05,Phone Bill,185.56,Utilities
2023-06-16,Phone Bill,181.55,Utilities
2023-03-04,Car Rental,128.17,Travel
2023-05-18,Pizza Hut,20.76,Food & Beverage
2023-03-07,Water Bill,124.21,Utilities
2023-01-13,Health Insurance,84.27,Healthcare
2023-09-08,Travel Insurance,107.62,Travel
2023-05-20,Concert,135.12,Entertainment
2023-03-24,Travel Insurance,62.22,Travel
2023-06-24,Hospital,58.15,Healthcare
2023-02-27,Doctor Visit,185.64,Healthcare
2023-08-14,McDonald's,9.95,Food & Beverage
2023-07-13,Concert,53.35,Entertainment
2023-04-09,Airline Ticket,146.4,Travel
2023-08-17,Netflix,104.47,Entertainment
2023-02-22,Exxon,59.85,Transport
2023-06-07,Lyft,57.72,Transport
2023-03-18,Burger King,98.82,Food & Beverage
2023-01-28,Car Rental,176.23,Travel
2023-01-24,Pharmacy,176.54,Healthcare
2023-02-08,Concert,189.0,Entertainment
2023-06-29,Travel Insurance,33.24,Travel
2023-01-15,Hotel Booking,133.24,Travel
2023-04-01,Cinema,91.39,Entertainment
2023-03-08,Lyft,185.59,Transport
2023-05-25,McDonald's,75.74,Food & Beverage
2023-01-09,Health Insurance,32.77,Healthcare
2023-02-25,Public Transport,151.08,Transport
2023-08-29,Travel Insurance,64.06,Travel
2023-05-20,Hotel Booking,52.31,Travel
2023-04-17,Internet Bill,156.31,Utilities
2023-10-12,Amazon,187.0,Shopping
2023-03-18,Cinema,161.91,Entertainment
2023-05-02,Pharmacy,40.35,Healthcare
2023-08-28,Target,109.17,Shopping
2023-10-07,Travel Insurance,153.82,Travel
2023-06-12,Pizza Hut,42.43,Food & Beverage
2023-01-24,Shell Gas,41.39,Transport
2023-09-03,Theme Park,15.14,Entertainment
2023-07-04,Concert,88.66,Entertainment
2023-06-22,Phone Bill,168.57,Utilities
2023-01-16,Spotify,12.9,Entertainment
2023-08-19,Hotel Booking,61.93,Travel
2023-08-14,Target,85.68,Shopping
2023-07-15,Pizza Hut,95.7,Food & Beverage
2023-08-12,McDonald's,171.64,Food & Beverage
2023-09-13,Water Bill,143.09,Utilities
2023-08-20,Hospital,198.36,Healthcare
2023-05-09,Target,70.14,Shopping
2023-05-06,Water Bill,79.78,Utilities
2023-07-25,Spotify,128.95,Entertainment
2023-02-27,Theme Park,98.18,Entertainment
2023-10-24,Walmart,74.16,Shopping
2023-01-26,Cinema,54.6,Entertainment
2023-05-03,Pizza Hut,1.49,Food & Beverage
2023-10-28,Shell Gas,192.56,Transport
2023-07-31,Pizza Hut,18.64,Food & Beverage
2023-07-08,Electric Bill,128.61,Utilities
2023-03-21,Travel Insurance,105.05,Travel
2023-02-03,Costco,107.36,Shopping
2023-04-10,Phone Bill,167.07,Utilities
2023-01-03,Electric Bill,77.23,Utilities
2023-01-06,Pharmacy,70.98,Healthcare
2023-09-01,Uber,76.66,Transport
2023-02-06,Netflix,28.63,Entertainment
2023-07-20,Water Bill,92.45,Utilities
2023-07-17,Car Rental,33.18,Travel
2023-09-09,Shell Gas,73.99,Transport
2023-05-24,Lyft,109.56,Transport
2023-05-22,Water Bill,167.72,Utilities
2023-05-06,Concert,89.8,Entertainment
2023-08-10,Cinema,150.29,Entertainment
2023-06-17,Phone Bill,105.55,Utilities
2023-02-21,Amazon,176.39,Shopping
2023-06-14,Target,108.76,Shopping
2023-09-17,Internet Bill,35.89,Utilities
2023-05-02,Pizza Hut,122.19,Food & Beverage
2023-01-11,Cinema,33.91,Entertainment
2023-07-20,Spotify,101.01,Entertainment
2023-03-16,Health Insurance,164.95,Healthcare
2023-10-25,Public Transport,39.63,Transport
2023-01-13,Phone Bill,78.29,Utilities
2023-08-24,Dunkin' Donuts,47.81,Food & Beverage
2023-08-17,Internet Bill,72.07,Utilities
2023-01-06,Health Insurance,22.66,Healthcare
2023-08-15,Lyft,36.57,Transport
2023-05-25,Phone Bill,65.78,Utilities
2023-08-12,Shell Gas,28.79,Transport
2023-05-31,Internet Bill,61.5,Utilities
2023-08-06,McDonald's,108.24,Food & Beverage
2023-02-11,Walmart,54.62,Shopping
2023-03-14,Amazon,44.69,Shopping
2023-03-09,Pizza Hut,16.09,Food & Beverage
2023-02-08,Amazon,146.19,Shopping
2023-09-16,McDonald's,105.84,Food & Beverage
2023-08-22,Electric Bill,10.6,Utilities
2023-10-05,Shell Gas,115.07,Transport
2023-04-21,McDonald's,132.84,Food & Beverage
2023-10-06,Pharmacy,189.8,Healthcare
2023-04-15,Internet Bill,145.8,Utilities
2023-10-20,Electric Bill,178.96,Utilities
2023-05-07,Costco,101.52,Shopping
2023-03-11,Internet Bill,17.84,Utilities
2023-08-23,Car Rental,57.57,Travel
2023-09-01,Water Bill,43.67,Utilities
2023-04-02,Hospital,131.79,Healthcare
2023-08-31,Hospital,59.27,Healthcare
2023-01-28,Best Buy,86.74,Shopping
2023-02-28,Concert,160.54,Entertainment
2023-05-17,Dunkin' Donuts,54.11,Food & Beverage
2023-01-17,Netflix,141.96,Entertainment
2023-10-16,Lyft,193.52,Transport
2023-06-22,Netflix,28.56,Entertainment
2023-02-23,Electric Bill,146.25,Utilities
2023-04-27,Hotel Booking,65.13,Travel
2023-07-15,Burger King,182.28,Food & Beverage
2023-07-09,Spotify,144.5,Entertainment
2023-01-27,Dunkin' Donuts,99.65,Food & Beverage
2023-05-21,Internet Bill,139.27,Utilities
2023-08-20,Shell Gas,49.41,Transport
2023-01-08,Shell Gas,186.55,Transport
2023-09-07,Travel Insurance,138.43,Travel
2023-07-04,Internet Bill,85.35,Utilities
2023-02-28,Cinema,180.76,Entertainment
2023-08-18,Internet Bill,35.52,Utilities
2023-04-03,Concert,114.13,Entertainment
2023-01-22,Concert,75.53,Entertainment
2023-09-15,Concert,64.33,Entertainment
2023-06-17,Theme Park,108.8,Entertainment
2023-03-06,Uber,15.09,Transport
2023-02-19,Phone Bill,58.19,Utilities
2023-09-26,Internet Bill,121.37,Utilities
2023-09-02,Electric Bill,20.39,Utilities
2023-05-30,Doctor Visit,14.94,Healthcare
2023-03-24,Internet Bill,196.11,Utilities
2023-02-03,Exxon,54.78,Transport
2023-10-17,Theme Park,53.42,Entertainment
2023-05-13,Spotify,7.67,Entertainment
2023-03-17,Burger King,116.29,Food & Beverage
2023-05-28,Internet Bill,108.25,Utilities
2023-07-30,Electric Bill,26.44,Utilities
2023-02-19,Spotify,146.9,Entertainment
2023-07-21,Internet Bill,67.58,Utilities
2023-04-14,Target,93.9,Shopping
2023-06-26,Netflix,136.19,Entertainment
2023-10-02,Costco,108.12,Shopping
2023-03-14,Theme Park,189.04,Entertainment
2023-02-19,Exxon,170.76,Transport
2023-07-19,Internet Bill,6.79,Utilities
2023-03-14,Shell Gas,18.11,Transport
2023-06-19,Target,7.85,Shopping
2023-07-03,Phone Bill,25.67,Utilities
2023-03-27,Electric Bill,124.89,Utilities
2023-07-02,Cinema,115.61,Entertainment
2023-07-04,Airline Ticket,173.04,Travel
2023-06-29,Pizza Hut,65.61,Food & Beverage
2023-10-09,Target,21.98,Shopping
2023-07-17,Best Buy,103.24,Shopping
2023-10-14,Electric Bill,158.71,Utilities
2023-09-23,Walmart,89.29,Shopping
2023-07-15,Hotel Booking,103.97,Travel
2023-08-09,Health Insurance,117.16,Healthcare
2023-04-10,Dunkin' Donuts,63.03,Food & Beverage
2023-08-05,Dunkin' Donuts,122.27,Food & Beverage
2023-03-05,Dunkin' Donuts,104.12,Food & Beverage
2023-10-10,Internet Bill,186.85,Utilities
2023-03-16,Phone Bill,189.82,Utilities
2023-06-19,Travel Insurance,110.41,Travel
2023-08-22,Pizza Hut,180.58,Food & Beverage
2023-08-25,Hotel Booking,154.43,Travel
